Status,Total,Identification of filing party / AFL-CIO affiliates,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Unaffiliated local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"RC cases — Pending July 1, 1963",1904,1294,407,129,72,2,
RC cases — Received fiscal 1964,10018,6041,2979,649,338,11,
RC cases — On docket fiscal 1964,11922,7335,3386,778,410,13,
RC cases — Closed fiscal 1964,9925,6058,2885,644,329,9,
"RC cases — Pending June 30, 1964",1997,1277,501,134,81,4,
"RM cases — Pending July 1, 1963",181,,,,,,181
RM cases — Received fiscal 1964,988,,,,,,988
RM cases — On docket fiscal 1964,1169,,,,,,1169
RM cases — Closed fiscal 1964,939,,,,,,939
"RM cases — Pending June 30, 1964",230,,,,,,230
"RD cases — Pending July 1, 1963",110,2,0,0,1,107,
RD cases — Received fiscal 1964,679,5,1,0,4,669,
RD cases — On docket fiscal 1964,789,7,1,0,5,776,
RD cases — Closed fiscal 1964,682,4,1,0,4,673,
"RD cases — Pending June 30, 1964",107,3,0,0,1,103,
"UD cases — Pending July 1, 1963",17,,,,,17,
UD cases — Received fiscal 1964,98,,,,,98,
UD cases — On docket fiscal 1964,115,,,,,115,
UD cases — Closed fiscal 1964,95,,,,,95,
"UD cases — Pending June 30, 1964",20,,,,,20,
