Union affiliation,Elections participated in / Total,Elections participated in / Resulting in certification / Number,Elections participated in / Resulting in certification / Percent of total,Elections participated in / Resulting in decertification / Number,Elections participated in / Resulting in decertification / Percent of total,Employees involved in elections (number eligible to vote) / Total eligible,Employees involved in elections (number eligible to vote) / Resulting in certification / Number,Employees involved in elections (number eligible to vote) / Resulting in certification / Percent of total eligible,Employees involved in elections (number eligible to vote) / Resulting in decertification / Number,Employees involved in elections (number eligible to vote) / Resulting in decertification / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total,241,80,33.2,161,66.8,18364,7757,42.2,10607,57.8,16604,90.4,9034,54.4
AFL-CIO,162,59,36.4,103,63.6,14898,5247,35.2,9651,64.8,13527,90.8,6871,50.8
Unaffiliated,79,21,26.6,58,73.4,3466,2510,72.4,956,27.6,3077,88.8,2163,70.6
