Method and stage of disposition,All R cases / Number of cases closed,All R cases / Percent of cases closed,RC cases / Number of cases closed,RC cases / Percent of cases closed,RM cases / Number of cases closed,RM cases / Percent of cases closed,RD cases / Number of cases closed,RD cases / Percent of cases closed
Total number of cases closed,10242,100.0,9022,100.0,659,100.0,561,100.0
Consent election,3124,30.5,2849,31.6,176,26.7,99,17.7
Before notice of hearing,1948,19.0,1768,19.6,129,19.6,51,9.1
After notice of hearing before hearing opened,1012,9.9,939,10.4,38,5.8,35,6.2
"After hearing opened, before Board decision",164,1.6,142,1.6,9,1.4,13,2.4
Stipulated election,1744,17.0,1615,17.9,80,12.1,49,8.7
Before notice of hearing,776,7.6,714,7.9,46,7.0,16,2.9
After notice of hearing before hearing opened,686,6.7,648,7.2,20,3.0,18,3.2
"After hearing opened, before Board decision",93,0.9,84,0.9,2,0.3,7,1.2
After postelection decision,189,1.8,169,1.9,12,1.8,8,1.4
Regional director-directed election,27,0.3,12,0.1,15,2.3,,
Before notice of hearing,24,0.2,9,0.1,15,2.3,,
"After notice of hearing, before hearing opened",3,,3,,,,,
Withdrawn,2660,26.0,2234,24.8,225,34.1,201,35.8
Before notice of hearing,1467,14.3,1178,13.1,134,20.3,155,27.6
After notice of hearing before hearing opened,811,7.9,696,7.7,75,11.4,40,7.1
"After hearing opened, before Board decision",160,1.6,144,1.6,12,1.8,4,0.7
After Board decision and direction of election,222,2.2,216,2.4,4,0.6,2,0.4
Dismissed,881,8.6,674,7.5,88,13.4,119,21.2
Before notice of hearing,490,4.8,348,3.9,55,8.3,87,15.5
"After notice of hearing, before hearing opened",77,0.8,54,0.6,11,1.7,12,2.1
"After hearing opened, before Board decision",27,0.3,22,0.2,0,0,5,0.9
By Board decision,287,2.8,250,2.8,21,3.2,16,2.9
Board-ordered election,1806,17.6,1638,18.1,75,11.4,93,16.6
