Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CG cases / Number,CG cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,32341,100.0,24624,100.0,6770,100.0,598,100.0,176,100.0,48,100.0,24,100.0,101,100.0
Agreement of the parties,11546,35.7,9987,40.5,1179,17.4,308,51.5,2,1.1,15,31.2,13,54.1,42,41.5
Informal settlement,11484,35.5,9939,40.3,1167,17.2,304,50.8,2,1.1,15,31.2,13,54.1,42,41.5
Before issuance of complaint,8556,26.5,7336,29.8,912,13.4,246,41.1,2,1.1,13,27.0,12,50.0,35,34.6
"After issuance of complaint, before opening of hearing",2847,8.8,2524,10.2,237,3.5,55,9.2,,,2,4.1,1,4.1,7,6.9
"After hearing opened, before issuance of administrative law judge's decision",81,0.3,57,0.2,20,0.3,3,0.5,,,,,,,,
Formal settlement,62,0.2,48,0.1,12,0.2,2,,,,,,,,,
Before opening of hearing,36,0.1,33,0.1,3,0.1,,,,,,,,,,
Stipulated decision,10,,10,,,,,,,,,,,,,
Consent decree,26,0.1,23,,,,,,,,,,,,,
After hearing opened,26,0.1,17,0.1,9,0.1,,,,,,,,,,
Stipulated decision,0,,0,,0,,,,,,,,,,,
Consent decree,26,0.1,17,0.1,9,0.1,,,,,,,,,,
Compliance with,801,2.5,100,,688,2.7,96,10.4,,,,,,,,
