row_label,Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent of all situations,Type of situations — CA — Number of situations,Type of situations — CA — Percent by size class,Type of situations — CB — Number of situations,Type of situations — CB — Percent by size class,Type of situations — CC — Number of situations,Type of situations — CC — Percent by size class,Type of situations — CD — Number of situations,Type of situations — CD — Percent by size class,Type of situations — CE — Number of situations,Type of situations — CE — Percent by size class,Type of situations — CG — Number of situations,Type of situations — CG — Percent by size class,Type of situations — CP — Number of situations,Type of situations — CP — Percent by size class,Type of situations — CA-CB combinations — Number of situations,Type of situations — CA-CB combinations — Percent by size class,Type of situations — Other C combinations — Number of situations,Type of situations — Other C combinations — Percent by size class
Totals,26785,100.0,,19993,100.0,5640,100.0,354,100.0,126,100.0,8,100.0,23,100.0,84,100.0,518,100.0,39,100.0,
Under 10,1803,6.7,6.7,1302,6.5,356,6.3,55,15.5,30,19.2,3,8.6,5,21.4,18,21.4,20.2,24,4.6,10,11.4
10-19,2298,8.6,15.3,1778,8.9,357,6.5,48,30,19.2,3,8.6,5,21.4,18,21.4,53,11.6,26,5.0,5,5.7
