Circuit courts of appeals (headquarters),Total — Fiscal year 1991,Total — Cumulative fiscal years 1986-1990,Affirmed in full — FY1991 Number,Affirmed in full — FY1991 Percent,Affirmed in full — Cumulative FY1986-1990 Number,Affirmed in full — Cumulative FY1986-1990 Percent,Modified — FY1991 Number,Modified — FY1991 Percent,Modified — Cumulative FY1986-1990 Number,Modified — Cumulative FY1986-1990 Percent,Remanded in full — FY1991 Number,Remanded in full — FY1991 Percent,Remanded in full — Cumulative FY1986-1990 Number,Remanded in full — Cumulative FY1986-1990 Percent,Affirmed in part and remanded in part — FY1991 Number,Affirmed in part and remanded in part — FY1991 Percent,Affirmed in part and remanded in part — Cumulative FY1986-1990 Number,Affirmed in part and remanded in part — Cumulative FY1986-1990 Percent,Set aside — FY1991 Number,Set aside — FY1991 Percent,Set aside — Cumulative FY1986-1990 Number,Set aside — Cumulative FY1986-1990 Percent
Total all circuits,178,920,136,76.4,,,12,6.7,,,10,5.6,,,4,5.5,,,13,6.9,,
Phila (Circuit 3),17,76,16,94.1,64,84.2,,,,,,,,,,,,,,,,
Chicago (Circuit 7),14,67,14,100.0,51,76.1,,,,,,,,,,,,,,,,
SF CA (Circuit 9),37,168,25,67.6,105,62.5,,,,,,,,,,,,,,,,
