row_label,col_1,col_2,col_3,col_4
Cases cloSed before hearing: a,,,,
By withdrawal of petition,29,27172,14.3,32.2
By dismissal of petition •,6,6100,2.4,5.6
By transfer,4,4135,2.0,4.4
By settlement:,,,,
(a) Consent elections,23,"'5,610",11.3,25.6
(b) Recognition of representatives,29,5061,14.3,32.2
Total cases closed before hearing,90,48078,44.3,100.0
Cases closed after hearing:,,,,
By withdrawal of petition,1,36,. 5,8.3
By dismissal of petition,2,184,1.0,16.7
By settlement,2,135,1.0,16.7
By issuance of certification without election,1,140,.5,8.3
By certifications after election,5-,2334,2.4,41.7
By refusal of certification after election,1,700,. 5,8.3
Total cases closed after hearing,12,3509,5.9,100.0
Cases pending:,,,,
Hearings to be held,70,9870,34.5,69.3
Hearings prevented by injunction,7,2622,3.4,6.9
Decisions pending',13,7489,6.4,12.9
Elections pending,3,995,1.5,3.0
Elections enjoined,6,7683,3.0,5.9
Certifications pending,2,273,1.0,2.0
Total cases pending,101,28932,40.8,100.0
Total representation cases,203,"80, 510 ....,",no. o,
