Participating unions,Number of elections,Number of elections — A. F. of L. affiliates authorized — Number,Number of elections — A. F. of L. affiliates authorized — Percent,Number of elections — C. I. O. affiliates authorized — Number,Number of elections — C. I. O. affiliates authorized — Percent,Number of elections — Unaffiliated unions authorized — Number,Number of elections — Unaffiliated unions authorized — Percent,Number of elections — No union authorized (majority not achieved) — Number,Number of elections — No union authorized (majority not achieved) — Percent,Eligible voters — Number,Eligible voters — Percent casting valid votes,Total valid votes,Valid votes cast for union-shop by affiliation of petitioner — A. F. of L. — Number,Valid votes cast for union-shop by affiliation of petitioner — A. F. of L. — Percent,Valid votes cast for union-shop by affiliation of petitioner — C. I. O. — Number,Valid votes cast for union-shop by affiliation of petitioner — C. I. O. — Percent,Valid votes cast for union-shop by affiliation of petitioner — Unaffiliated — Number,Valid votes cast for union-shop by affiliation of petitioner — Unaffiliated — Percent,Valid votes cast against union-shop — Number,Valid votes cast against union-shop — Percent
Total,15074,10448,69.3,1979,13.1,2154,14.3,493,3.3,1733922,84.8,1471092,728227,94.6,475888,92.3,178014,12.1,89263,
A. F. L. affiliates (alone on ballot),10574,10448,98.8,,,,,,,899893,85.9,769559,728227,94.6,,,,,41332,5.4
C. I. O. affiliates (alone on ballot),2054,,,1979,97.8,,,,,596318,84.2,501829,,,475888,94.8,,,25941,5.2
Unaffiliated unions (alone on ballot),2220,,,,,2154,97.0,,,240711,83.5,200283,,,,,178014,88.9,21990,11.0
