Status,Number of cases / Total,Number of cases / Identification of complainant or petitioner / A. F. of L. Affiliates,Number of cases / Identification of complainant or petitioner / C. I. O. Affiliates,Number of cases / Identification of complainant or petitioner / Unaffiliated unions,Number of cases / Identification of complainant or petitioner / Individuals or employers,Total number of workers involved
"All cases — Cases pending July 1, 1943",2620,942,1189,391,98,
All cases — Cases received July 1943-June 1944,9176,3465,4023,1354,336,
All cases — Cases on docket July 1943-June 1944,11796,4407,5212,1745,434,
All cases — Cases closed July 1943-June 1944,9194,3457,4059,1358,322,
"All cases — Cases pending June 30, 1944",2602,950,1153,387,112,
"Unfair labor practice — Cases pending July 1, 1943",1323,449,644,137,93,2856064
Unfair labor practice — Cases received July 1943-June 1944,2573,870,1098,330,276,4379592
Unfair labor practice — Cases on docket July 1943-June 1944,3896,1319,1742,467,369,7235656
Unfair labor practice — Cases closed July 1943-June 1944,2687,909,1177,327,275,4928404
"Unfair labor practice — Cases pending June 30, 1944",1209,410,565,140,94,2307252
"Representation — Cases pending July 1, 1943",1297,493,545,254,5,626532
Representation — Cases received July 1943-June 1944,6603,2595,2925,1024,60,2171394
Representation — Cases on docket July 1943-June 1944,7900,3088,3470,1278,65,2797926
Representation — Cases closed July 1943-June 1944,6507,2548,2882,1031,47,2113475
"Representation — Cases pending June 30, 1944",1393,540,588,247,18,684451
