row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total .",468,463,413,2,48,6
By Regional Directors,60,59,52,1,6,
By Board .,408,404,361,1,42,6
In stipulated elections,353,350,314,1,35,4
No exceptions to Regional Directors' reports,181,180,155,,24,3
Exceptions to Regional Directors' reports,172,170,159,,11,1
In directed elections (after transfer by Regional Director) .,53,52,45,0,7,2
Review of Regional Directors' supplemental decisions:,,,,,,
Request for review received,36,35,30,0,5,
Withdrawn before request ruled upon,1,1,,0,0,0
"Board action on request ruled upon, total",41,40,33,0,7,
Granted,2,2,2,,,0
Denied .,38,37,31,,6,0
Remanded,1,1,,,,
"Withdrawn after request granted, before",0,0,0,0,0,
Board decision after review. total ..,2,2,2,0,0,
Regional Directors decisions:,,,,,,
Modified,,,,,,
Reversed,,,,,,
