row_label,Total proceedings,"Injunction proceedings / Pending in district court October 1, 1976",Injunction proceedings / Filed in district court fiscal year 1977,Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court September 30, 1977"
"Under sec. 10(e), total",4,0,4,4,4,0,0,0,0,0,0
"Under sec. 10(j), total",50,5,45,40,24,8,5,1,1,1,10
"Under sec. 10(l), total",196,12,184,174,95,7,53,7,3,9,22
