Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Votes for no union
"AFL-CIO (1-union, all-rep)",40878,15438,15438,,,7677,6073,6073,,,11690
"Other national unions (1-union, all-rep)",52539,22039,,22039,,7631,8021,,8021,,14848
"Other local unions (1-union, all-rep)",5200,2077,,,2077,1082,457,,,457,1584
"1-union elections (sub-total, all-rep)",98617,39554,15438,22039,2077,16390,14551,6073,8021,457,28122
"2-union elections (sub-total, all-rep)",9527,7684,2770,3765,1149,451,698,483,158,57,694
"Total representation elections (Grand total, Section A all-rep)",108838,47555,18216,26061,3278,16845,15457,6556,8387,514,28981
1-union elections (RC sub-total),77145,30693,10603,18058,2032,11788,11647,4530,6686,431,23017
