row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Declined,573,573,392,10,0,82,89,,,,,,
Employees placed on preferen- tial hiring list,723,723,670,11,0,8,34,0,o,0,0,0,0
Hiring hall rights restored,22,,- - _,,,,,22,19,0,0,3,0
Objections to employment withdrawn,4,,,,,,,4,4,0,0,0,0
Employees receiving backpay,,,,,,,,,,1,0,396,9
From either employer or union,24190,23682,17739,196,1024,2415,2308,508,102,0,0,o,0
From both employer and union,261,259,259,0,0,0,0,2,2,0,0,2,0
"Employees reimbursed for fees, dues, and fines",,,,,,,,,,0,0,o,o
From either employer or union,2366,2137,84,2,0,59,1992,229,227,21783,0,73538,507918
From both employer and union,132,132,0,0,0,132,0,0,0,0,0,8935,o
"C By amounts of monetary re- covery, total",92133616,91125849,44210255,1779643,184882,14308,642969,1007767,404528,,,,
"Backpay (includes all monetary payments except fees, dues, and fines)",89854833,88944010,43937744,1759823,184882,"13,683458",29378103,910823,316519,21783,0,"64,6032",507918
"Reimbursement of fees, dues, and fines",2278783,2181839,272511,19820,0,634642,1264866,96944,88009,0,0,8935,0
