row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,124985,27553,27553,,,,13750,27655,27655,,,,56027
Teamsters,36872,7044,,7044,,,3516,7963,,7963,,,18349
Other national unions,5377,"942 4,463",,,942 -,,388,1280,,,"1,280 --","- 2,571","2,767 4,777"
Other local unions 1-union elections,"13,277 180,511",40032,"- 27,553",7044,942,"4,463 4,463","1,466 19,120","2,571 39,469","- 27,655","- 7,963",1280,2571,81920
AFL-CIO v AFL-CIO,2065,1063,1063,,,,92,211,211,,,,699
AFL-CIO v Teamsters,2009,1126,422,704,,,152,289,126,163,,,442
AFL-CIO v National AFL-CIO v Local,"1,592 7,479",768,"474 2,468",,294 -,"- 3,459",49 603,363 395,30 298,,333 --,- 97,412 554
Teamsters v National,81,5927,,32,12,,9,,,1,8,,19
,,44,,426,,382,43,9,,,,,
Teamsters v Local Teamsters v Teamsters,3627,808,,,,,,656,,544 0,,112 -,"2,120 0"
National v Local,"3,982 502","3,920 466",,"3,920 -",226,- 240,62 28,0 4,,,4,0,4
National v National,492,482,,,482,,10,0,,,0,,0
Local v Local,1069,943,,,,943,69,26,,,,26,31
,,,,,1014,5024,1117,,665,708,345,235,4281
2-union elections,22898,15547,4427,5082,,,,1953,,,,,0
AFL-CIO v AFL-CIO v AFL-CIO AFL-CIO v AFL-CIO v Local,75 292,75 288,75 241,,,-- 47,0 4,0 0,0 0,,,0,0
AFL-CIO v Teamsters v Local,290,289,171,18,,WO,1,0,0,0,,0,0
AFL-CIO v Local v Local,16689,16430,13590,,,2840,259,0,0,,,0,0
Teamsters v Local v Local,170,170,,1,,169,0,0,,0,,0,0
Local v Local v Local,98,98,,,,98,0,0,,,,0,0
3 (or more)-union elections,17614,17350,14077,19,0,3254,264,0,0,0,0,0,0
Total representation elections,221023,72899,46057,12145,1956,12741,20501,41422,28320,8671,1625,2806,86201
