row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
Accepted Declined,"3,817 2,020","3,817 2,020","3,435 1,732",49 32,2 2,125 103,206 151,,,,,,
Employees placed on prefer- ential hiring list Hiring hall rights restored ____,"1,393 5,028",1393,1324,0,0,11,58,5028,21,5002,0,1,4
Objections to employment withdrawn,63,,,,,,,63,46,4,0,8,5
Employees receiving backpay From either employer or union,14593,14320,11089,268,5,1297,1661,273,171,65,0,27,10
From both employer and union,34,34,2,0,0,32,0,34,2,0,0,32,0
"Employees reimbursed for fees, dues, and fines From either employer or union",1726,683,683,0,0,0,0,1043,1041,0,0,2,0
From both employer and union,22,22,0,0,0,10,12,22,0,0,0,10,12
"C By amounts of monetary re- covery, total",17724850,16652390,11152910,154710,24530,2119160,3001080,1072460,833010,33850,0,98310,107290
"Backpay (includes all mone- tary payments except fees, dues, and fines) Reimbursement of fees, and fines","16,537,760 1,187,090","16,239,450 412,940","10,766,610 386,300","154,710 0","24,530 0","2,112,630 6,530","2,980,970 20,110","298,310 774,150","105,980 727,030","33,850 0",0 0,"54,380 43,930","104,100 3,190"
