row_label,Division and State 2,Total elections,Number of elections in which representation rights were won by / AFL-CIO affiliates,Number of elections in which representation rights were won by / Teamsters,Number of elections in which representation rights were won by / Other national unions,Number of elections in which representation rights were won by / Unaffiliated national unions,Number of elections in which representation rights were won by / Local unaffiliated unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for / AFL-CIO affiliates,Valid votes cast for / Teamsters,Valid votes cast for / Other national unions,Valid votes cast for / Unaffiliated national unions,Valid votes cast for / Local unaffiliated unions,Valid votes cast for / No union,Employees in units chosen representation
"Total, all States and areas",7529,2685,1146,294,111,,3233,511751,498902,197322,45117,27492,19809,,209632,295330,
New England (division subtotal),431,126,64,21,9,3,193,34048,30947,12037,538,1366,879,329,15995,12417,
New England states (Maine 38/13/4/.../-; New Hampshire 18/8/3; Vermont 12/4/.; Massachusetts 234/73/29; Rhode Island 48/24/4; Connecticut 81/24/13),,,,,,,,,,,,,,,,,
Middle Atlantic (division subtotal),1341,415,258,80,55,,533,112764,103378,39206,16601,5999,7742,33006,67376,,
Middle Atlantic states (New York 533/158/101/36/...; New Jersey 339/98/75/...; Pennsylvania 469/159/81/...),,,,,,,,,,,,,,,,,
East North Central (division subtotal),1823,645,272,61,33,,814,137331,131556,50866,8460,8115,5663,3090,56121,74242,
East North Central states (Ohio 544/199/73; Indiana 281/72/29; Illinois 591/187/107; Michigan 431/151/57; Wisconsin 176/49/26),,,,,,,,,,,,,,,,,
West North Central (division subtotal),660,250,118,11,2,,278,32197,29138,11478,8888,553,292,,12979,16396,
West North Central states (Iowa 112/43/19; Minnesota 148/60/23; Missouri 248/97/53; North Dakota 13/6/3; South Dakota 15/9/4; Nebraska 49/13/9; Kansas 64/15/7),,,,,,,,,,,,,,,,,
