Number of unions participating,Elections and pay-roll checks / Number,Elections and pay-roll checks / Percent of total,Eligible voters / Number,Eligible voters / Percent of total,Eligible voters / Percent casting valid votes
1 union,3645,77.3,738304,55.9,81.5
2 unions,1017,21.6,524033,39.6,80.6
3 or more unions,50,1.1,59888,4.5,81.3
