Participating unions,Elections won by unions Total elections 1,Elections won by unions Percent won,Elections won by unions Total won,Elections won by unions AFL-CIO unions,Elections won by unions Teamsters,Elections won by unions Other national unions,Elections won by unions Other local unions,Elections in which no representative was chosen,Employees eligible to vote Total,Employees eligible to vote In elections won by unions Total,Employees eligible to vote In units won by AFL-CIO,Employees eligible to vote In units won by Teamsters,Employees eligible to vote In units won by Other national unions,Employees eligible to vote In units won by Other local unions,Employees in elections in which no representative was chosen
Total representation elections,7776,60.2,4680,3017,1179,309,175,3096,544538,333545,223414,35829,41744,32558,210991
1-union elections (subtotal),6903,57.2,3988,2617,1030,250,91,2920,,194915,146466,20923,7403,,
1-union: AFL-CIO,4548,,2617,2617,,,,1931,,146466,146466,,,,157598
1-union: Teamsters,1878,54.8,1030,,1030,,,848,,20923,,20923,,,27247
1-union: Other national unions,269,,250,,,250,,147,,7403,,,7403,,
1-union: Other local unions,208,,91,,,,91,,,,,,,,
2-union elections (subtotal),827,,669,378,143,52,80,158,139933,124263,63782,13529,8394,14089,15672
2-union,,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),46,,33,14,6,7,4,13,31974,31030,13106,,1460,15549,404
3-or-more union,,,,,,,,,,,,,,,
