row_label,Participating unions,Total elections won,Percent won,Elections won by unions — Total won,Elections won by unions — AFL-CIO,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won by unions — AFL-CIO,Employees eligible to vote — In elections won by unions — Teamsters,Employees eligible to vote — In elections won by unions — Other national unions,Employees eligible to vote — In elections won by unions — Other local unions,Employees eligible to vote — In elections where no representative chosen
1-union elections — AFL-CIO,56,13.5,12,12,,,,44,2817,366,366,,,,1254
1-union elections — Teamsters,44,33.3,14,,14,,,30,,,307,307,,,466
1-union elections — Other national unions,16,50.0,8,,,8,,8,357,,,,367,,153
1-union elections — Other local unions,,,2,,,,2,,,,,,,124,
1-union elections — Total,123,27.3,36,12,14,8,2,87,3664,366,307,367,124,,1873
Total RM elections,133,27.5,35,13,15,9,4,96,,,,,,,1979
