Basis on which case closed,Total cases,Number with later charges / Number,Number with later charges / Percent of total,Number with later charges upheld or pending / Number,Number with later charges upheld or pending / Percent of total,Number and disposition of later charges / Total cases,Number and disposition of later charges / Withdrawn or dismissed,Number and disposition of later charges / Adjusted,Number and disposition of later charges / Board order,Number and disposition of later charges / Pending
Adjusted,800,153,19.1,80,10.0,209,120,76,7,6
Compliance after formal action,141,24,17.0,6,4.3,40,31,5,0,4
Board order,66,11,16.7,2,3.0,19,15,0,0,4
Consent decree,50,9,18.0,2,4.0,11,9,2,0,0
Court order,25,4,16.0,2,8.0,7,7,0,0,0
Total,936,175,18.7,84,9.0,245,148,80,7,10
