row_label,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"All cases — Pending October 1, 1977",18208,7118,2188,601,688,5924,1689
All cases — Received fiscal 1978,53261,16701,6143,1047,1514,21974,5382
All cases — On docket fiscal 1978,71469,23819,8331,2148,2202,27898,7071
All cases — Closed fiscal 1978,50258,15618,5917,1364,1430,21029,4900
"All cases — Pending September 30, 1978",21211,7996,2414,784,772,6869,2171
