row_label,col_1
16-R-1551,Waple Platter Co.
13-11-3351 2-R-5786,"Ward Electric Co. Warner, William R., &Co., Inc."
17-11-1182,"Warren, Richard."
13-R-3367,"Washburn Co, The Andrew Wire Works Division."
5-11-2101,Washington Gas Light Co.
20-11-1615,Waterfront Employers Association.
20-11-1690,Waterfront Employers Association.
1-11-2684,Waterville Iron Works.
,Inc.
2-11-5815,"Watson Elevator Co,"
8-11-2129,"Weaver Wall Co, The."
21-11-2575,Weber Showcase &Fixture Co.
2-11-5751,"Well Bros. Textile, Inc."
5-R-2154,Welch Furniture Co. •
2-R-5835,Welding Service Co.
741-2156,"Welker Letter Go, Henery A. Welker, d/b/a."
1-11-1519,Wentworth Bus Lines
15-R-1597,Werthan Bag Corp.
,Wertz Engineering Co
4-R-1944,
19-R-1656,West Coast Telephone Co.
6-11-1303,Weston Glass Co.
2-11-5818,West Side Iron Works.
8-R-2055 9-11-1904,West Steel Castings Co. West Virginia Armature Co
9-11-1758,"West Virginia Coal &Coke Corp, Junior Mercantile West Virginia Pulp &Paper Co."
5-11-2102,Virginia Pulp &Paper Co
10-R-1695,West
,Western Condensing Co.
19-11-1612,"Western Electric Co., Inc."
5-11-2264,Western &Southern Co
14-11-1284 18-R-1538,Life Insurance Western Tool &Stamping Co.
1-11-2875,Electric Corp
,Westinghouse
2-R-5656,Westinghouse Electric International Co.
4-11-1697,Westinghouse Electric &Mfg. Co. Co
9-R-1915,Westinghouse Electric &Mfg . Inc.
,"Westinghouse Radio Stations,"
4-11-1964,Wheeling Steel Co.
8-11-1987.,
4-11-1768,White Bros. Smelting Corp.
8-R-1903,"Whit-Motor Co., The. Whitin, Paul, Mfg. Co"
1-RE-37 1-R-2805,"Whitney Blake Co, The.."
,Whittet Higgins Co.
1-R-2985,Mills Co.
10-R-1681,Whittier Wichita Eagle.
17-11-1454,
16-11-1685,Wichita Falls Foundry Co. Wichita Packing Co.
,&Machine
16-11-1368,"William, F. B, Co"
13-11-3576 5-11-2096,Williams Brownell Planing Mill. Furniture Co.
,Williamsport
4-R-1827 8-R-2117,
,"Motors, Inc."
8-R-1877,"Willys-Overland Willys-Overland Motors, Inc."
21-R-3021,"Wilmington Welding '& Boiler Works, Ltd."
19-R-1570,"A. K., Timber Products Co. Mfg. Co."
3-11-1107,"Wilson, Wilson Athletic Goods"
4-R-1973,"&Co., Inc."
10-11-1637,Wilson
,"Wilson &Co., Inc."
,"Wilson &Co., Inc."
10-11-1784,
13-R-3077.,"Wilson &Co., Inc."
13-11-3098,"Wilson &Co., Inc"
13-11-3350,"Wilson &Co., Inc"
13-R-3567,
16-R-1406,"Wilson &Co., Inc Wilson &Co., Inc"
17-11-1210,"Wilson &Co., Inc"
18-R-1537,"Wilson &Co., Inc"
,Mfg
,Co.
18-RE-16,Wilson-Hurd
