Division and State,Total elec- tions / Total,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Other national unions,Other local unions,Number of elec- tions in which no rep- resenta- tive was chosen,Number of em- ployees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,AFL-CIO unions,Other national unions,Other local unions,Total valid votes for no union,Eligible employees in units choos- ing rep- resenta- tion
New England (subtotal),170,89,77,6,6,81,,,5020,4450,369,,5071,3720
Middle Atlantic (subtotal),609,337,273,30,44,302,,,39904,19029,13148,,20340,20460
East North Central (subtotal),751,366,338,8,20,385,,,45212,22173,20099,,23039,20792
West North Central (subtotal),251,116,106,7,3,135,,,13072,5919,5200,,7153,5641
