row_label,Division and State,All cases,Unfair labor practice cases / All C cases,CA,CB,CC,CD,CE,CP,Representation cases / All R cases,RC,RM,RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Maine,Maine,106,55,47,6,2,0,0,0,49,45,1,3,0,0,2
New Hampshire,New Hampshire,110,38,27,7,4,0,0,0,69,59,0,10,0,0,3
Vermont,Vermont,14,4,4,0,0,0,0,0,10,8,0,2,0,0,0
Massachusetts,Massachusetts,835,504,208,41,10,0,0,9,275,232,20,23,0,6,10
Rhode Island,Rhode Island,147,97,65,22,12,0,0,0,47,40,2,1,0,0,3
Connecticut,Connecticut,389,213,155,54,24,13,2,3,144,114,16,14,0,4,5
New England,New England,1592,927,528,138,70,2,0,10,676,532,42,40,13,6,22
New York,New York,3571,2360,1290,793,178,56,13,50,1158,1015,59,84,5,5,23
New Jersey,New Jersey,1418,907,526,206,98,31,0,11,503,436,29,38,3,3,12
Pennsylvania,Pennsylvania,2810,1851,1099,434,152,52,2,29,886,720,66,48,3,9,7
Middle Atlantic,Middle Atlantic,7802,5118,2915,1433,428,139,15,90,2547,2171,146,170,40,17,42
Ohio,Ohio,2571,1799,1185,434,113,43,2,22,728,639,41,48,15,8,16
Indiana,Indiana,1748,1253,835,320,92,21,1,13,478,395,44,39,0,1,16
Illinois,Illinois,2738,2023,1255,625,94,12,1,23,678,559,53,66,5,8,24
Michigan,Michigan,1774,1276,875,266,90,19,0,8,369,298,22,47,30,12,10
Wisconsin,Wisconsin,946,548,406,97,28,3,1,1,369,277,39,53,6,13,10
East North Central,East North Central,10065,6947,4504,1790,200,165,7,75,2936,2468,195,273,58,53,51
Iowa,Iowa,424,306,169,40,29,11,0,0,213,195,5,13,0,1,4
Minnesota,Minnesota,557,317,243,57,17,0,0,0,228,193,9,8,0,1,11
Missouri,Missouri,1107,631,471,227,89,22,1,0,347,287,26,25,0,7,11
North Dakota,North Dakota,81,43,32,3,8,0,0,0,34,33,2,0,0,1,1
South Dakota,South Dakota,178,100,79,16,1,0,0,0,57,27,0,0,0,0,5
Nebraska,Nebraska,302,183,132,32,12,3,0,0,108,94,6,8,0,1,0
Kansas,Kansas,303,185,122,32,3,0,0,3,115,100,3,9,0,0,3
West North Central,West North Central,3112,1816,1247,331,144,32,1,3,1212,1028,62,122,0,11,35
Delaware,Delaware,97,48,27,20,1,0,0,0,48,43,2,3,0,0,1
Maryland,Maryland,555,330,243,55,21,10,0,0,207,189,9,9,0,1,16
District of Columbia,District of Columbia,167,76,60,13,0,0,0,3,82,63,11,8,0,0,9
Virginia,Virginia,477,311,240,47,18,1,0,5,157,144,5,8,0,0,9
