Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Washington (RC),95,57,42,13,0,2,38,4940,3940,2261,1907,265,0,89,1448,2368
California (RC),331,158,96,50,4,8,169,18420,15895,7605,5094,1762,269,480,8895,8484
Pacific — Division subtotal (RC),522,261,172,70,5,13,261,27032,21579,8139,,2162,330,552,,
Outlying Areas — subtotal (RC),43,36,9,9,0,16,16,5485,1034,1491,0,1184,0,794,1605,1512
"Total, all States and areas — RC GRAND TOTAL FY1991",3179,1490,942,391,39,113,1689,195025,169536,51214,36963,8758,2257,3158,88322,75877
