row_label,col_1,col_2,col_3,col_4
After hearing,140,2.1,,1.6
Adjusted,72,1.s,,0.8
Recognition,5,0.1,,0.1
Consent election,6.5,1.0,,0.7
Cross-check,2,(0,(0,
Withdrawn,66,1.0,,0.8
Dismissed,2,(0,(0,
After Board decision,2.110,31.1,,24.3
Certified,1487,21.9,,17.1
Stipulated election,272,4.0,,3.1
Stipulated cross-check,25,0.4,,0.3
Ordered election,1187,17.5,,13.7
Without election,3,(0,(0,
Dismissed,029,7.8,,6.1
Stipulated election,73,1.1,,0.8
Ordered election,243,3.6,,2.8
Without election,213,3.1,,2.5
Withdrawn,99,1.4,,1. I
Otherwise .,2,(0,,
