Type of case,Total elections,Type of election / Consent 1,Type of election / Stipulated 2,Type of election / Board ordered 3,Type of election / Regional director directed 4
"All elections, total",4888,2059,1687,1130,12
"Eligible voters, total",470926,111245,175552,183341,788
"Valid votes, total",421544,101221,159248,160506,569
"RC cases, total",4499,1905,1567,1027,
Eligible voters,441542,104257,161808,175387,
Valid votes,394773,94796,146634,153343,
"RM cases, total",230,100,84,46,
Eligible voters,17362,4112,8877,4373,
Valid votes,15846,3809,8057,3980,
"RD cases, total",145,53,36,56,
Eligible voters,11018,2735,4777,3506,
Valid votes,10156,2487,4557,3112,
"UD cases, total",14,1,0,1,12
Eligible voters,1004,141,0,75,788
Valid votes,769,129,0,71,569
