Size of establishment (number of employees),Total / Percent of all situations,Total / Cumulative percent of all situations,Type of situations / CA / Percent of all CA situations,Type of situations / CA / Percent by size class,Type of situations / CB / Percent of all CB situations,Type of situations / CB / Percent by size class,Type of situations / CC / Percent of all CC situations,Type of situations / CC / Percent by size class,Type of situations / CD / Percent of all CD situations,Type of situations / CD / Percent by size class,Type of situations / CE / Percent of all CE situations,Type of situations / CE / Percent by size class,Type of situations / CP / Percent of all CP situations,Type of situations / CP / Percent by size class,Type of situations / CA-CB combinations / Percent of all CA-CB situations,Type of situations / CA-CB combinations / Percent by size class,Other C combinations / Percent of all other C combinations,Other C combinations / Percent of all situations
Total (all sizes),100.0,,68 0,100 0,12 4,100 0,7 3,100 0,2 1,100 0,0 4,100 0,2 6,100 0,5 7,100 0,1 2,100 0
1-24 employees,33 5,33 5,33 2,,42 5,,57 6,,21 3,,50 3,,,,,,,
Other size-class,,,,,,,,,,,,,,,,,,
