Industrial group,Total elections,Elections won by unions Total,AFL-CIO,Teamsters,Other national,Other local,Other(?),col_8,Total eligible,Total valid votes cast,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Votes for no union,Employees in elections in which a representative was chosen
"Total, all industrial groups",7776,4680,3017,1179,309,173,5,3096,544538,491453,396609,226235,36883,32902,29439,184734,333545
Manufacturing (subtotal),4540,2771,1935,564,228,47,,1773,433529,394000,249856,171284,22397,29414,23380,144072,256742
"Manufacturing sub-industries (Ordnance/accessories, Food/kindred, Tobacco, Textile, Apparel, Lumber, Furniture, Paper, Printing, Chemicals, Petroleum, Rubber, Leather, Stone-clay-glass, Primary metal, Fabricated metal, Machinery, Electrical, Transportation, Aircraft, Ship/boat, Automotive, Professional/scientific, Miscellaneous)",,,,,,,,,,,,,,,,,
