row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible voters in elections choosing representation
South Atlantic,829,372,207,82,9,24,457,66521,60752,29370,21444,2973,1948,3005,31382,27510,27510
East South Central,532,231,158,54,11,8,301,54256,49884,23061,16461,4167,1700,638,26823,20545,20545
West South Central,571,231,154,53,8,6,340,40367,44422,12816,9031,2738,1968,366,25721,14457,14457
Mountain,434,203,94,66,20,23,231,21846,18194,9887,6706,2641,106,234,9227,9506,9506
Pacific,1032,673,402,202,30,50,1050,80271,70063,33664,19379,8648,2469,3168,36389,32350,32350
Puerto Rico,126,65,26,15,2,22,70,10827,9394,5684,2789,547,124,2174,3567,5705,5705
Virgin Islands,5,3,1,,,2,2,212,203,103,55,,,48,100,115,115
Outlying areas,131,68,27,15,2,24,72,11039,9597,5787,2844,547,124,2174,3667,6184,6184
Total all States and areas,9484,4363,2535,1254,249,325,5121,570716,504241,244704,151346,43973,22844,27493,259477,223070,223070
