Type of proceeding,Fiscal year 1968 Number of proceedings Total,Vs employers only Number,Vs unions only Number,Vs both employers and unions Number,Board dismissal Number,Vs employers only Percent,Vs unions only Percent,Vs both employers and unions Percent,Board dismissal Percent,"July 5, 1935 - June 30, 1968 cumulative Number","July 5, 1935 - June 30, 1968 cumulative Percent"
Proceedings decided by U.S. courts of appeals,319,271,32,4,12,,,,,3652,
On petitions for review and/or enforcement,301,255,31,3,12,100.0,100.0,100.0,100.0,,100.0
US Courts of Appeals review/enforcement,,,,,,,,,,,
On petitions for contempt,18,16,1,1,0,,,,,,
Petitions for contempt,,,,,,,,,,,
Proceedings decided by U.S. Supreme Court,3,2,1,0,0,,,,,170,100.0
Supreme Court,,,,,,,,,,,
