Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, inactive, pending, etc."
Under sec. 10 (j):,,,,
(a) Against unions,1,1,0,0.
(b) Against employers,1,1,0,0.
Under sec 10 (l),98,47,4,29 settled. 2 withdrawn. 17 alleged illegal activity suspended. 8 pending.
Total,100,49,4,56.
