Method and stage of disposition,All R cases / Number,All R cases / Percent,RC cases / Number,RC cases / Percent,RM cases / Number,RM cases / Percent,RD cases / Number,RD cases / Percent,UD cases / Number,UD cases / Percent
"Total, all",12487,100.0,10687,100.0,1160,100.0,640,100.0,133,100.0
"Certification issued, total",8395,67.2,7618,71.3,553,47.7,224,35.0,67,50.4
Consent election (subtotal),3228,25.4,2984,27.9,215,18.5,29,4.5,,
Consent election stage,,,,,,,,,,
Stipulated election (subtotal),3360,26.9,3092,28.9,198,17.1,70,10.9,1,1.5
Stipulated election stage,,,,,,,,,,
Expedited election + Regional-director-directed + Board-directed (subtotals),,,,,,,,,,
"By withdrawal, total",3015,24.2,2373,22.2,388,33.4,254,39.7,,39.8
Withdrawal stage,,,,,,,,,,
"By dismissal, total",1077,8.6,696,6.5,219,18.9,162,25.3,,
Dismissal stage,,,,,,,,,,
