Industrial Group,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Insurance Carriers and Related Activities,49,42,31,11,0,0,0,0,0,5,5,0,0,0,0,2
"Funds, Trusts and Other Financial Vehicles (U.S. Only)",17,16,11,5,0,0,0,0,0,0,0,0,0,1,0,0
Finance and Insurance,137,115,90,22,2,1,0,0,0,15,14,0,1,2,1,4
Real Estate,166,135,88,39,5,0,0,3,0,27,19,3,5,0,0,4
Rental and Leasing Services,222,177,152,22,3,0,0,0,0,44,32,1,11,0,0,1
Owners and Lessors of Other Non-Financial Assets,16,12,7,3,0,0,0,0,0,4,3,1,0,0,0,0
Real Estate and Rental and Leasing,404,324,247,64,8,0,0,3,0,75,54,5,16,0,0,5
Administrative and Support Services,1682,1430,1004,401,15,4,1,0,5,242,214,2,26,7,0,3
Hospitals,1508,1242,983,248,2,0,0,0,9,235,200,1,34,5,0,26
