Action taken,Total all,Remedial action by Employer / Emp Total,Remedial action by Employer / Emp Informal settlement,Remedial action by Employer / Emp Formal settlement,Remedial action by Employer / Emp Order-Trial examiner,Remedial action by Employer / Emp Order-Board,Remedial action by Employer / Emp Order-Court,Remedial action by Union / Union Total,Remedial action by Union / Union Informal settlement,Remedial action by Union / Union Formal settlement,Remedial action by Union / Union Order-Trial examiner,Remedial action by Union / Union Order-Board,Remedial action by Union / Union Order-Court
B. By number of employees affected,,,,,,,,,,,,,
"Employers offered reinstatement, total",3107,3107,2166,178,94,292,377,,,,,,
Accepted,2061,2061,1395,90,60,157,159,,,,,,
Declined,1046,1046,771,88,34,135,218,,,,,,
B section additional,,,,,,,,,,,,,
"C. By amounts of monetary recovery, total",3228000,3147000,1178520,218210,334183,1106940,80910,27890,2570,10680,23830,15940,
"Backpay (includes all monetary payments except backpay, dues, and fines)",3189340,3117560,1159910,104320,216210,330550,1104820,71780,23180,1470,10990,23310,13220
"Reimbursement of fees, dues, and fines",38660,29520,18830,3210,,3630,3870,9130,4710,1100,,520,2710
