Category,Subtotal,Total
Total Board decisions,,1352
Contested decisions,,794
Unfair labor practice decisions,,558
Initial (includes those based on stipulated record),515,
Supplemental,0,
Backpay,31,
Determinations in jurisdictional disputes,12,
Representation decisions,,233
After transfer by Regional Directors for initial decision,4,
After review of Regional Director decisions,28,
On objections and/or challenges,201,
Other decisions,,3
Clarification of bargaining unit,3,
