Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
2-CD-1841,Longshoremen's Association (New York Shipping Assn),"Nov. 21, 1956",10 (l),"Nov. 21, 1956",,,,,"Feb. 20, 1957"
10-CC-285,"AFL-Teamsters, Local 728 (J. B. Thornton, Inc)","Nov. 21, 1956",10 (l),,,,,"Dec. 13, 1956",Settled
5-CC-67,"AFL-Electrical Workers, Local 5 (West Penn Power Co.)","Dec. 4, 1956",10 (l),,,"Dec. 7, 1956 (consent)",,"Apr. 22, 1957","Settled 6-CD-53, withdrawn 6-CD-53"
Additional case rows present,,,,,,,,,
