row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
■ 0 004 ..0,,CC 00,,"N , I . • le CO .",CO N,Nm. 0 . 04 . .,,. . M . . 0 . ■1,0 0,00.,"0,",r- cq M
000m.,.0,Nm0.,CO,ONON,,00..01000,". 1 ,",.NN000 .,■n .,00,0,04 W
00000,m,m000,M,.10■V0,. 0,"0.000 , 10.0",M .,cOmMN.. ..4■0,0 X,00,■rD,W 0 N
"- z -nt.:,.",4,4g2 m4,ro -,"i71,'442",2,c 4 mm rs m ',8,224F-1 m0,"L'' ,-)",mm,,
",k,c).-4,- ,41",cp ',mmoo,", 11- ,",c4..0,R,".,.c.rn",2,"0001,.0 0Ng",", 2",.0,,2 co
"m - 4 ""'""2",i e -,"247' ,2",,""" .1"" - r- ' N",c',"`""CV,LV.;:."" . .",8,g o#24` m N.N,i,"gl,--, ` "" -","F , '•> .",n
,,NO00,CC,.0vm■c,",","004 , 1000N,C,",",",.....TO,2 ...,00 .,.0,N -
"200..,",g,g.00,C'-,,2,m.0.NM.N,gl,WMW00,". , 0 .",.0,,Q
",-.4o00.",,"oo,-.o",",-,",0000,o,00000.o0,cv,.O.o©Oo,cc,OO,O,"o, .0"
M0000,0 .,M0N0,,.N00,M,.00N.m..,N .,0Mw000 t•-•,", oo",00,0,"0 t,-"
".4• .Coo ,r,",gi,o •d■ cv cv,:4,007.!2;,"Fi,",",..,,=`,F,...t.,-+,--,",4,"m 711 -, 00",", R ,",00,0,2
":2"""" m ;E,K",K,"882""'",'49,CC)CCCCC'- q.,,"2-.""""-""K'E.1",2,22 g- 4 mm,m,N°,N,
"''''''8"" 0,0_ 4",,' mm 2:::.,""" 2",' mg § moo,"17,'",742'245'417i,R,"F.""21 . 84° .7",R .7,"'4""",n,
"' , 181,7 - :",R .,248,2,P-488,7-',"82'4R24.28 .-. ■-,",M .,"SK.7.""E4Km .,-1,,,-4 .",8 ■IJ,2R ■-I,"2 ..,",§ .
ERRiF,"R- ,",r:RRA',g cv,"MU, ■-■",'=. ' ci,"' 6 "" 2 R 6- fl",",-1","REP° - .,","4 •-• ,","""' 1■1",--' m 1-1,0 R
"' .0,..N.0 , c -l'AV,8 . 1■1",".: • .,J",cNo-.-- 882K,0 ■?- . N-,mo.N. t c. 2 #22 . .,"■-- ;,, . N","00 mo-. c. ... o> W.Z""-2K2.T.A",",.. # • C4","._gc,inl-...., 242.82 . • t■",!.-.. - . 0,"8,4 M",".7.,. , M",7.-I N . 2
