Stage of disposition,All C cases / Number of cases closed,All C cases / Percent of cases closed,CA cases / Number of cases closed,CA cases / Percent of cases closed,CB cases / Number of cases closed,CB cases / Percent of cases closed,CC cases / Number of cases closed,CC cases / Percent of cases closed,CD cases / Number of cases closed,CD cases / Percent of cases closed,CE cases / Number of cases closed,CE cases / Percent of cases closed,CP cases / Number of cases closed,CP cases / Percent of cases closed
Total number of cases closed,15219,100.0,10360,100.0,2659,100.0,1253,100.0,465,100.0,69,100.0,413,100.0
Before issuance of complaint,12973,85.2,8832,85.2,2448,92.1,1054,84.1,448,96.3,32,46.4,299,72.4
"After issuance of complaint, before opening of hearing",1272,8.5,977,9.4,115,4.3,139,11.1,9,1.9,8,11.6,24,5.8
"After hearing opened, before trial examiner's decision",473,3.1,342,3.3,61,2.3,37,3.0,,,5,7.2,28,6.8
"After trial examiner's decision, before Board decision",108,.7,79,.8,13,.5,6,.5,,,1,1.5,9,2.2
"After Board decision, before circuit court decree",340,2.2,270,2.6,16,.6,15,1.2,,,5,7.2,44,10.6
"After circuit court decree, before Supreme Court action",53,.3,40,.4,6,.2,,,,,,,7,1.7
After Supreme Court action,,,,,,,,,,,,,,
