Standard Federal Region and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization (UD),Amendment of certification (AC),Unit clarification (UC)
Region VI — Total,2084,1828,1456,366,3,2,0,0,1,248,200,7,41,1,0,7
Region VII — Total,921,759,590,184,27,11,1,9,0,149,102,11,36,3,1,9
Region VIII — Total,816,513,683,240,31,12,2,1,8,250,175,14,61,3,1,18
Region IX — California,3688,3106,2385,645,46,9,8,0,14,548,443,23,74,18,1,21
Region IX — Total,4872,4178,3218,820,50,9,5,12,12,703,586,26,91,21,4,27
Region X — Total,1311,1023,794,202,17,3,5,0,2,253,202,6,45,12,0,23
"Total, all States and areas",33505,28099,21494,5836,446,166,27,35,95,5054,4113,124,817,126,0,226
