Size of unit (number of employees),Number eligible to vote,Total elections,Percent of total,Cumulative percent of total,A. CERTIFICATION ELECTIONS (RC & RM) / AFL-CIO unions Number,A. CERTIFICATION ELECTIONS (RC & RM) / AFL-CIO unions Percent by size class,A. CERTIFICATION ELECTIONS (RC & RM) / Teamsters Number,A. CERTIFICATION ELECTIONS (RC & RM) / Teamsters Percent by size class,A. CERTIFICATION ELECTIONS (RC & RM) / Other national unions Number,A. CERTIFICATION ELECTIONS (RC & RM) / Other national unions Percent by size class,A. CERTIFICATION ELECTIONS (RC & RM) / Other local unions Number,A. CERTIFICATION ELECTIONS (RC & RM) / Other local unions Percent by size class,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent by size class
Total RC and RM elections,576700,7909,100.0,,2432,100.0,1216,100.0,409,100.0,221,100.0,3432,100.0
Under 10,10189,1781,23.1,23.1,427,17.7,403,33.5,57,14.2,46,20.8,658,19.2
10 to 19,21629,1556,20.2,44.2,506,20.8,322,26.5,74,18.5,36,16.3,490,23.1
20 to 29,22572,945,12.3,56.4,324,12.7,168,12.6,53,12.2,28,12.4,316,11.1
"Remaining size brackets (30-39, 40-49, 50-59, 60-69, 70-79, 80-89, 90-99, 100-119, 120-139, 140-159, 160-179, 180-199, 200-249, 250-299, 300-349, 350-399, etc.)",,,,,,,,,,,,,,
