Method and stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases 1 / Number of cases,RC cases 1 / Percent of cases closed,RM cases 1 / Number of cases,RM cases 1 / Percent of cases closed,RD cases 1 / Number of cases,RD cases 1 / Percent of cases closed
Total number of cases closed,8840,100.0,7415,100.0,868,100.0,557,100.0
Consent election,2392,27.1,2112,28.5,208,24.0,72,12.9
Before notice of hearing (Consent election),1786,20.2,1598,21.5,151,17.4,37,6.6
"After notice of hearing, before hearing opened (Consent election)",493,5.6,420,5.7,45,5.2,28,5.0
"After hearing opened, before Board decision (Consent election)",113,1.3,94,1.3,12,1.4,7,1.3
Stipulated election,1813,20.5,1644,22.2,124,14.2,45,8.1
Before notice of hearing (Stipulated election),985,11.1,896,12.1,69,7.9,20,3.6
"After notice of hearing, before hearing opened (Stipulated election)",535,6.1,478,6.4,42,4.8,15,2.7
"After hearing opened, before Board decision (Stipulated election)",141,1.6,133,1.8,4,.5,4,.7
After postelection decision (Stipulated election),152,1.7,137,1.9,9,1.0,6,1.1
Withdrawn,2213,25.0,1737,23.4,294,33.9,182,32.7
Before notice of hearing (Withdrawn),1465,16.6,1140,15.4,193,22.2,132,23.7
"After notice of hearing, before hearing opened (Withdrawn)",515,5.8,400,5.4,78,9.0,37,6.6
"After hearing opened, before Board decision (Withdrawn)",136,1.5,109,1.4,16,1.9,11,2.0
After Board decision and direction of election (Withdrawn),97,1.1,88,1.2,7,.8,2,.4
Dismissed,900,10.2,617,8.3,132,15.2,151,27.1
Before notice of hearing (Dismissed),563,6.4,393,5.3,68,7.8,102,18.3
"After notice of hearing, before hearing opened (Dismissed)",53,.6,24,.3,17,2.0,12,2.2
"After hearing opened, before Board decision (Dismissed)",24,.3,15,.2,5,.6,4,.7
By Board decision (Dismissed),260,2.9,185,2.5,42,4.8,33,5.9
Board-ordered election,1522,17.2,1305,17.6,110,12.7,107,19.2
