row_label,col_1,col_2,col_3
1-RC-723,"Duesberg-Bosson of America, Inc.",7-RC-356,"Ford Motor Co., Lin- coln Mercury Divi-"
5-RC-169,Dupont E. I. de Ne- mours & Co.,10-RC-428,"sion. Fort Industry Co. Inc.,"
8-RC-370,Dupont E. I. de Ne- mours & Co.,,The.
6-RC-89,Duquesne Light Co.,10-RC-437 1-RC-907,"Fort Industry Co., The. Fox Point Warehouse & Terminal Co."
14-RC-362 17-RC-419,"Eagle Foundry Co. Eagle-Picher Mining & Smelting Co., The.",8-RC-376,"Fruehauf Trailer Co., The."
15-RC-241 15-RC-249,East Mississippi. East Mississippi Elec- tric Power Associa-,2-RC-548 13-RC-432,Garden State Bus Line. Gaw-O'Hara Envelope Co.
14-RC-632,tion. East St. Louis Render- ing Co.,9-RC-394 18-RC-269,"General Cigar Co., Inc. General Dairy Equip- ment Co."
4-RC-259 34-RC-128,Eberle Tanning Co. Ecusta Paper Corp.,6-RC-118,"General Electric Appli- ances, Inc."
14-RC-381,Ehrhardt Tool & Ma- chine Co.,16-RC-300,General Electric Appli- ance Service Center.
14-RC-356,Electric Auto-Lite Co.,,General Electric Co.
13-RC-380,"Electro Engineering Products Co., Inc.",6-RC-312 13-RC-616 19-RC-208,General Electric Co. General Electric Co.
17-RC-361,"Electro Glide Co., The",36-RC-197,General Electric Co.
16-RC-267,Elk Cotton Oil Co.,8-RC-250,"General Electric Co.,"
13-RC-331,Empire Box Corp.,,Apparatus Dept.
13-RC-346,"Enamelers & Japanners, Inc.",9-RC-433,General Electric Lexing- ton Lamp Works.
5-RC-65 6-RC-158,Engineering & Research Corp. Equitable Auto Co.,32-RC-44,"General Electric Corp., Memphis Lamp"
6-RC-159,Equitable Auto Co.,2-RC-1156,Workers. General Electric Supply Corp.
6-RC-155 6-RC-156,Equitable Gas Co. Equitable Real Estate,2-RC-1205,General Electric Supply
,Co.,,Corp.
14-RC-382 34-RC-68,"Essmueller Co., The Eureka Lumber Co.",3-RC-197 3-RC-198,General Electric Supply Corp. General Electric Supply
13-RC-485 2-RC-771,F & B Manufacturing Co. Camera & In-,5-RC-266,Corp. General Electric Supply
1-RC-737,Fairchild strument Corp. Fairhaven Co.,3-RC-277,Corp. General Electric Supply
1-RC-558 18-RC-372,Fairmont Foods Co. Faribault Woolen Mills,5-RC-285,Corp. General Electric Supply
,"Co. Faulco, Industries.",5-RC-314,Corp. General Electric Supply
21-RC-409,,,Corp.
14-RC-376,"Ferguson Tool & Ma- chine Co., Inc.",16-RC-344,General Electric Supply Corp.
36-RC-62,ber Co. Fir Pine Products Mill- ing Co.,13-RC-281 7-RC-256,"Corp. General Mills, Inc."
10-RC-409,Florence Manufacturing Co.,1-RC-714,General Motors. General Motors Corp.
,Food Center of St.,2-RC-509,General Motors Corp.
14-RC-486,"Louis, Inc.",2-RC-531 2-RC-677,General Motors Corp. General Motors Corp.
18-RC-148 18-RC-182,Ford Motor Co. Ford Motor Co.,4-RC-319 5-RC-118,General Motors Corp. General Motors Corp.
14-RC-492 7-RC-55,"Ford Motor Co. Motor Co., Mound Road Plant.",7-RC-201 7-RC-202,General Motors Corp. General Motors Corp.
,Ford,7-RC-206,General Motors Corp. General Motors Corp.
,"Ford Motor Co., Mound",7-RC-216,
7-RC-331,Road Plant.,7-RC-233,General Motors Corp.
