Action taken,Total all,Remedial action taken by Employer / Employer Total,Remedial action taken by Employer / Emp Agreement Informal settlement,Remedial action taken by Employer / Emp Agreement Formal settlement,Remedial action taken by Employer / Emp Order-Trial examiner,Remedial action taken by Employer / Emp Order-Board,Remedial action taken by Employer / Emp Order-Court,Remedial action taken by Union / Union Total,Remedial action taken by Union / Union Agreement Informal settlement,Remedial action taken by Union / Union Agreement Formal settlement,Remedial action taken by Union / Union Order-Trial examiner,Remedial action taken by Union / Union Order-Board,Remedial action taken by Union / Union Order-Court
A. By number of cases involved,5674,,,,,,,,,,,,
Notices posted,2861,2158,1303,64,101,368,322,703,480,60,26,89,48
Recognition or other circumstances withdrawn,80,89,87,11,0,12,9,,,,,,
Employer-dominated union disestablished,20,30,13,1,1,1,1,,,,,,
Employees offered reinstatement,1281,1281,837,35,50,184,175,,,,,,
Employees offered preferential hiring list,122,122,96,0,1,12,13,,,,,,
Hiring hall rights restored / Collective bargaining withdrawn / Picketing ended / Work stoppage ended / Backpay distributed / Reimbursement of fees dues and fines / Other conditions improved / Other remedies,,,,,,,,,,,,,
