Object class,Amount
Salaries,7595374
Travel,542029
Transportation of things,32685
Communication services,235375
Rents and utility services,33509
Printing and reproduction,135826
Other contractual services,222746
Supplies and materials,92160
Equipment,89247
"Refunds, awards and indemnities",1493
Taxes and assessments,9415
"Grand total, obligations and expenditures",8989859
