Industrial group,Total elections / Number,Total elections / Percent,A.F. of L. affiliates authorized / Number,A.F. of L. affiliates authorized / Percent,C.I.O. affiliates authorized / Number,C.I.O. affiliates authorized / Percent,Unaffiliated authorized / Number,Unaffiliated authorized / Percent,No union authorized / Number,No union authorized / Percent,Eligible voters / Number,Eligible voters / Percent,Valid votes cast / Number,Valid votes cast / Percent
Mining,103,0.6,83,80.6,13,12.6,4,3.9,3,2.9,5111,0.3,4421,0.3
Mining — Metal mining,6,0.0,6,100.0,0,0,0,0,0,0,,,,
Mining — Coal mining,12,0.1,1,8.3,0,0,11,91.7,0,0,,,,
Mining — Crude petroleum and natural gas production,19,0.1,4,21.0,12,63.2,3,15.8,0,0,,,,
Construction,159,0.9,119,87.5,0,0,4,2.5,14,8.8,5654,0.3,4851,0.3
Wholesale trade,1512,8.4,1294,85.6,33,2.1,89,5.9,65,4.3,71968,3.9,62733,3.8
Retail trade,1239,6.8,1069,86.3,21,1.7,86,6.9,50,4.0,55179,3.0,49193,3.0
"Finance, insurance, and real estate",1419,7.9,1408,99.2,1,0.1,9,0.6,1,0.1,19066,1.0,17743,1.1
"Transportation, communication, and other public utilities",1812,10.1,1456,80.4,71,3.9,233,12.9,52,2.8,173773,9.4,145774,9.0
Transportation — Highway freight transportation,692,3.9,670,96.5,0,0,21,3.0,1,0.1,41591,2.2,36798,2.3
Services,244,1.3,149,61.1,6,2.4,84,34.4,5,2.0,9068,0.6,7876,0.5
