Division and State²,All cases,All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Maine,131,122,115,7,0,0,0,0,0,9,7,0,2,0,0,0
New Hampshire,53,48,42,6,0,0,0,0,0,4,4,0,0,0,0,1
Vermont,71,60,50,8,0,0,0,0,0,10,10,0,0,0,0,0
Massachusetts,1244,1117,883,162,40,31,1,0,0,103,70,10,23,0,1,23
Rhode Island,193,164,143,16,4,1,0,0,0,27,23,0,4,0,0,0
Connecticut,631,551,437,96,11,4,0,1,0,72,63,3,6,0,0,0
New England,2323,2062,1670,297,55,26,1,1,0,211,172,8,31,0,1,24
New York,4327,3669,2543,1019,70,27,2,8,0,558,442,18,98,30,3,67
New Jersey,1490,1219,999,219,17,16,4,0,0,249,210,4,35,0,0,13
Pennsylvania,2448,2117,1676,373,40,22,0,1,0,306,244,4,58,0,0,9
Middle Atlantic,8265,7033,5118,1651,147,71,18,9,0,1113,896,28,189,27,3,89
