Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections in which no representative chosen / Other local unions,Employees eligible to vote,Employees eligible to vote / Total,Employees eligible to vote / In elections won by,Employees eligible to vote / In units won by / AFL-CIO unions,Employees eligible to vote / In units won by / Teamsters,Employees eligible to vote / In units won by / Other national unions,In elections where no representative chosen / In units won by / Other local unions,col_15
D. Elections in RD cases,,,,,,,,,,,,,,,
AFL-CIO,300,26.2,81,81,,,,228,13455,6301,6301,,,,9184
Teamsters,164,17.1,28,,28,,,136,4241,1128,,,1128,,3113
Other national unions,16,50.0,8,,,8,,8,1229,248,,,,789,
Other local unions,6,33.3,2,,,,2,3,242,192,,,,192,
1-union elections (RD),495,24.2,120,81,28,8,2,375,21187,8419,6301,1128,789,192,12777
RD,,,,,,,,,,,,,,,
2-union elections (RD),21,81.0,17,4,6,4,3,4,2630,1558,649,266,276,368,1072
Total RD elections,516,26.5,137,85,34,13,5,379,23817,9968,6949,1394,1063,560,13849
