Type of litigation,Total all courts — Number,Total all courts — Upholding Board Position,Total all courts — Contrary to Board Position,In courts of appeals — Number,In courts of appeals — Upholding Board Position,In courts of appeals — Contrary to Board Position,In district courts — Number,In district courts — Upholding Board Position,In district courts — Contrary to Board Position,In bankruptcy courts — Number,In bankruptcy courts — Upholding Board Position,In bankruptcy courts — Contrary to Board Position
Totals — all types,23,23,0,9,9,0,13,13,0,1,1,0
NLRB-initiated actions or interventions — Subtotal,22,22,0,9,9,0,13,13,0,0,0,0
To compel NLRB to (Subtotal),18,18,0,6,6,0,11,11,0,1,1,0
