row_label,Identification of filing party / Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
"CA cases - Pending July 1, 1973",6281,3266,713,241,162,1879,20
CA cases - Received fiscal 1974,17978,7576,2081,531,458,7290,42
CA cases - On docket fiscal 1974,24259,10842,2794,772,620,9169,62
CA cases - Closed fiscal 1974,17307,7288,2041,500,442,6984,52
"CA cases - Pending June 30, 1974",6952,3554,753,272,178,2185,10
"CB cases - Pending July 1, 1973",1780,26,7,5,7,1266,469
CB cases - Received fiscal 1974,6471,75,18,9,31,5038,1280
CB cases - On docket fiscal 1974,8251,101,18,14,38,6324,1749
CB cases - Closed fiscal 1974,6483,69,16,9,29,5094,1266
"CB cases - Pending June 30, 1974",1768,32,2,5,9,1230,483
"CC cases - Pending July 1, 1973",592,2,0,2,7,12,569
CC cases - Received fiscal 1974,2026,6,1,26,18,51,1924
CC cases - On docket fiscal 1974,2618,8,1,28,25,63,2493
CC cases - Closed fiscal 1974,1994,5,1,27,13,43,1905
"CC cases - Pending June 30, 1974",624,3,0,1,13,20,588
"CD cases - Pending July 1, 1973",189,5,0,0,2,6,176
CD cases - Received fiscal 1974,604,14,1,4,2,20,563
CD cases - On docket fiscal 1974,793,19,1,4,4,26,739
CD cases - Closed fiscal 1974,622,15,1,4,3,17,582
"CD cases - Pending June 30, 1974",171,4,0,0,1,9,157
"CE cases - Pending July 1, 1973",85,1,0,0,17,12,55
CE cases - Received fiscal 1974,94,1,2,1,9,8,73
CE cases - On docket fiscal 1974,179,2,1,1,26,21,128
CE cases - Closed fiscal 1974,90,2,1,0,11,7,69
"CE cases - Pending June 30, 1974",89,0,0,0,15,14,59
"CP cases - Pending July 1, 1973",74,0,0,0,0,1,72
CP cases - Received fiscal 1974,553,3,0,0,7,17,523
CP cases - On docket fiscal 1974,627,3,0,0,7,18,595
CP cases - Closed fiscal 1974,520,1,0,0,6,20,493
"CP cases - Pending June 30, 1974",107,2,0,0,1,5,102
