row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
Aal,E,2N-.gmm,53,"4,T42",2,OCAO4MN,M,"vt-C;100,.v",A,..m'4..
.ntitli,0,coo...,m,NCUM,C-,CO DC,CO ...,".,m00000",,00000-.
ai lW M'OfAu,0 M,.co.o.,Cl,"Age ,1",g,"., 0220m",g,"0.c/, 20000",0,"cu.,-.0.,0"
i u .°. 1 E a w a4,m a,"""""-.1,",2,828,,822.-4 2,g,"C132°""'==",,
i u .°. 1 E a w a4,X cd,00-.c901N,M,g A g,,g442m,",.- 0",NFIN.M.V-,%,00.Mvm
i u .°. 1 E a w a4,0 x,"4w,:,p",g,Fa .-.,it.,gmg,g,snpnw8,R,2A23gE . . .
i u .°. 1 E a w a4,c4' 1,"'8""PR",@,"EiE ,",g,"AA,E 4 E g",".. """,lEi426,R,",c-w.LFic3"
"i!"" E O. 1 ...1 6 a C m",DC 0,"°"": ""'""°",2,g84,"% ...,","2 c 'S""",8,"vC4,..-.N07",z,"0.0..v.,"
"i!"" E O. 1 ...1 6 a C m","C., 0",00004001,V,"grip,",,0000004,CO,0000000,0,0.0.00
"i!"" E O. 1 ...1 6 a C m",W C),000ve.1.-4,t-,clito2,2,c.i.A .,A,0..0000,=,"0..,-,000"
"i!"" E O. 1 ...1 6 a C m",M 0,"...,,MWS.,",4,42,"g .,",0.44m,g,..v200..,©,".,4,MV,0"
"i!"" E O. 1 ...1 6 a C m",0 0,"''"" 24wS",S,2n . .,M .,f:4%88A . ..,g .,Eslar-74,M .,"242vW"""
"i!"" E O. 1 ...1 6 a C m",m 0,W.-Pr',i,RRt,g,P8P,' 2.,"""°""""''04",§,
"i!"" E O. 1 ...1 6 a C m",.4 0,"""8P§",E .,V.E4 a-_r,CO,"HEAR a,-;a-;",E C.,": 64E,v4q",g CCI,"I ""I ....m."
"i!"" E O. 1 ...1 6 a C m",i,E mtnM g,;I C,aI a-;a,R c.:,g EERA,A,RWREE CL,E CC),5tlggs _
1,1,EFAiU,§,HA',,Eg.Rn,",i",E§P8H,i'l,RUM
1 .'5 CL) v 5 g 6,1 .'5 CL) v 5 g 6,§q4 . ..4.2'.',1 w z,"w11> ›?..3.4-5.' Vuu .7,,,",2 i :4' A T1 -,"5 ,,i E2 021 AvA'",g 6 ..g O Z 1 w,.52 .5 IA 2F i • w...... 1 ES3M9,"""a' 3 O z I","4 am g 3 1-1 ' gl t tA • 4-Elt Ano,g."
