Type of election or pay-roll check,Elections and pay-roll checks / Number,Elections and pay-roll checks / Percent of total,Eligible voters / Number,Eligible voters / Percent of total,Valid votes / Number,Valid votes / Percent of total
Total,4712,100.0,1322225,100.0,1072594,100.0
Consent,2902,61.6,529228,40.0,431050,40.2
Consent — Elections,2434,51.7,490537,37.1,404719,37.7
Consent — Pay-roll checks,468,9.9,38691,2.9,26331,2.5
Stipulated,301,6.4,85907,6.5,70592,6.6
Stipulated — Elections,268,5.7,82512,6.2,68358,6.4
Stipulated — Pay-roll checks,33,.7,3395,.3,2234,.2
Ordered elections,1509,32.0,707090,53.5,570952,53.2
