row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Proceedings decided by U.S. Courts of Appeals and other courts…………………………………………………………………….,,,,,,,,,,,
On proceedings for review and/or enforcement………...……….......,72,58,8,0,6,80.6,11.1,,8.3,12046,100.0
Board orders affirmed in full…………………………………...,58,47,5,0,6,81.1,8.6,,10.3,8002,66.4
Board orders affirmed with modification……………………….,4,4,0,0,0,100.0,0.0,,0.0,1564,13.0
RemandedtotheBoard…………………………………………,3,2,1,0,0,66.7,33.3,,0.0,603,5.0
Board orders partially affirmed and partially remanded.………..,2,1,1,0,0,50.0,50.0,,0.0,273,2.3
Board orderssetaside…………………………………………..,5,4,1,0,0,80.0,20.0,,0.0,1604,13.3
On petitionsforcontempt……………………………………………,12,11,1,0,0,91.7,8.3,,,,
Ancillary proceedings in district courts and/or bankruptcy courts…..,23,23,0,0,0,100.0,0.0,,,,
TotalCourtOrders.…………………………………………………..,41,39,2,0,0,95.1,4.9,,,,
"Compliance after filing of petition, before court order …..…......",25,24,1,0,0,96.0,4.0,,,,
Court orders holding respondent in contempt ………………......,9,9,0,0,0,100.0,0.0,,,,
Court orders denying petition or discontinuing proceedings at CLCB request…………………………………...…………….,3,3,0,0,0,100.0,0.0,,,,
Court orders directing compliance without contempt adjudication…………..…………………………………………,4,3,1,0,0,75.0,25.0,,,,
Proceedings decided by U.S. Supreme Court 3 ………………………….,0,0,0,0,0,,,,,259,100.0
Board orders affirmed in full……………………………..………...,0,0,0,0,0,,,,,155,59.8
Board orders affirmed with modification…………………………...,0,0,0,0,0,,,,,18,6.9
Board orders setaside……………………………………………....,0,0,0,0,0,,,,,46,17.8
RemandedtotheBoard………………………….………………….,0,0,0,0,0,,,,,20,7.7
Remanded to Court of Appeals……………………………….....….,0,0,0,0,0,,,,,17,6.5
Board's request for remand or modification of enforcement orderdenied…….…………………………...…………………….…,0,0,0,0,0,,,,,1,0.4
Contempt cases remanded to Court of Appeals……………………...,0,0,0,0,0,,,,,1,0.4
Contempt cases enforced...……………………..…………………….,0,0,0,0,0,,,,,1,0.4
