Stage of disposition,All C: Number of cases closed,All C: Percent of cases closed,CA: Number of cases closed,CA: Percent of cases closed,CB: Number of cases closed,CB: Percent of cases closed,CC: Number of cases closed,CC: Percent of cases closed,CD: Number of cases closed,CD: Percent of cases closed,CE: Number of cases closed,CE: Percent of cases closed,CP: Number of cases closed,CP: Percent of cases closed
Total number of cases closed,25555,100.0,16725,100.0,5747,100.0,1928,100.0,630,100.0,79,100.0,446,100.0
Before issuance of complaint,22727,86.4,14270,85.3,5261,91.5,1660,85.0,598,94.9,67,72.2,390,87.4
"After issuance of complaint, before opening of hearing",1737,6.8,1242,7.4,248,4.3,139,7.5,,,8,8.5,32,7.2
"After hearing opened, before issuance of trial examiner's decision",146,0.6,107,0.6,27,0.5,7,0.4,,,1,,3,
"After trial examiner's decision, before issuance of Board decision",20,0.1,16,0.1,2,,1,,,,1,,,
After Board decision adopting Trial Examiner's Decision in absence of exceptions,228,0.9,179,1.1,34,0.6,6,0.4,,,,,,
After Board decision,711,2.8,521,3.1,117,2.0,61,3.2,,,2,,10,
After circuit court decree,461,1.8,346,2.1,63,1.1,33,1.7,,,,,,
After Supreme Court action,45,0.2,44,0.3,2,,,,,,,,,
