Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,68,45,66.2,23,33.8,4777,2446,51.2,2331,48.8,3784,79.2,2100,44.0
AFL-CIO unions,49,32,65.3,17,34.7,3554,1938,54.5,1616,45.5,2845,80.1,1660,46.7
Teamsters,13,8,61.5,5,38.5,780,374,47.9,406,52.1,579,74.2,317,40.6
Other national unions,0,0,,0,,,134,30.2,300,69.8,,,,
Other local unions,6,5,83.3,1,16.7,443,,,,,361,81.5,123,27.8
