row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
AFL-CIO,138,203,28,28,,,,110,3549,613,613,,,,2936
Teamsters,67,239,16,,16,,,51,1256,594,,594,,,662
Other national unions,2,500,1,,,1,,1,9,7,,,7,,2
Other local unions,9,33 3,3,,,,3,6,482,148,,,,148,334
I-union elections,216,222,48,28,16,1,3,168,5296,1362,613,594,7,148,3934
AFL-CIO v AFL-CIO,2,1C0) 0,2,2,,,,0,280,280,280,,,,0
AFL-CIO v Teamsters,1,100 0,1,0,1,,,0,17,17,0,17,,,0
AFL-CIO v National,1,100 0,1,0,,1,,0,2,2,,,2,,o
AFL-CIO v Local,4,1000,4,4,,,0,0,378,378,378,,,0,0
2-union elections,8,1000,8,6,1,1,0,0,677,677,658,17,2,0,0
AFL-CIO v AFL-CIO v AFL-CIO,,11000 o,I,I,,,,o,6,6,", 6",,,,0
3 (or more) union elections,1,100 0,1,1,0,0,0,o,6,6,6,0,0,0,0
Total RM elections,225,253,57,35,17,2,3,168,5979,2045,1277,611,9,148,3934
DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases,DElections in RD cases
AFL-CIO,548,246,135,135,,,,413,28164,9835,9835,,,,18329
Teamsters,249,161,40,,40,,,209,6365,2111,,2111,,,4254
Other national unions,17,235,4,,,4,,13,547,281,,,281,,266
Other local unions,49,367,18,,,,18,31,1897,699,,,,699,1198
I-union elections,863,228,197,135,40,4,18,666,36973,12926,9835,2111,281,699,24047
AFL-CIO v AFL-CIO,1,00,0,0,,,,1,45,0,0,,,,45
AFL-CIO v Teamsters,2,100 0,2,1,1,,,o,69,69,54,15,,,0
AFL-CIO v National,3,667,2,1,,I,,1,309,287,212,,75,,22
AFL-CIO v Local,1,100 0,I,0,,,1,0,128,128,0,,,128,0
Teamsters v Local,2,1000,2,,1,,1,0,235,235,,35,,200,0
