Participating unions,Number of elections,AFL affiliates won — Number,AFL affiliates won — Percent,CIO affiliates won — Number,CIO affiliates won — Percent,Unaffiliated unions won — Number,Unaffiliated unions won — Percent,No union won — Number,No union won — Percent
Total,5619,2101,37.4,1199,21.3,886,15.8,1433,25.5
1 A.F. of L. affiliate,2463,1720,69.2,,,,,743,30.8
1 C.I.O. affiliate,1335,,,770,68.3,,,380,31.7
1 Unaffiliated union,695,,,,,496,71.9,194,28.1
