row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",591,576,493,13,66,4
By Regional Directors,79,75,61,6,8,1
By Board,512,500,432,7,58,3
In stipulated elections,475 D467,402,7,56,2,
No exceptions to Regional Directors' reports,287,284,239,5,39,1
Exceptions to Regional Directors' reports In directed elections (after transfer by Regional Director) .,188 30,183 28,163 - 25,2 0,17 DI 2,1
Review of Regional Directors' supplemental decisions:,40,38,32,3,1,2
Request for review received Withdrawn before request ruled upon ...,1,1,0,0,1,0
"Board action on request ruled upon, total",48,47,42,3,1,1
Granted,3,3,3,0,0,0
Denied,40,39,34,3,1,1
Remanded,5,5,5,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",7,5,5,0,0,0
Regional Directors' decisions: Affirmed,3,2,2,0,0,0
Modified,0,0,0,0,0,0
,4,3,3,0,,
Reversed,,,,,0,0
