row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Totals -all types,27,22,5,13,10,3,13,11,2,1,I,o
NLRB-initiated actions or interventions,o,o,o,o,o,o,0,o,o,o,o,o
To quash district court subpoena,I,I,o,o,o,o,I,I,o,o,o,o
To enforce subpoena or contempt of subpoena,3,2,I,2,I,I,I,I,o,o,o,o
To dismiss action within Board's ezdusive Jurisdiction,1,1,o,I,I,o,o,o,o,o,o,o
To compel compliance with reorganization plan,1,o,I,o,o,o,I,o,I,o,o,o
To determine Board's claim to be nonchschargeable,0,o,0,b,o,o,o,o,o,o,o,o
Action by other parties,o,o,0,o,o,o,o,o,o,o,o,o
To review,o,o,o,o,o,o,o,o,o,o,o,o
Prosecutorial discretion,3,3,o,3,3,0,0,0,o,o,o,0
Nonfinal/representation order,0,o,o,o,o,o,o,o,o,o,o,0
Attorney discipline orders,1,o,I,o,o,o,I,o,I,0,o,0
To restrain NLRB from,0,o,0,o,o,o,o,o,o,o,o,o
Enforcing Board subpoenas,0,o,0,o,o,o,o,o,o,o,o,0
Proceeding in R case,1,1,0,1,1,o,o,o,o,o,o,o
Proceeding in unfair labor practice case,1,1,0,0,o,o,I,I,o,o,o,o
To compel NLRB to .,0,o,0,o,0,o,o,o,o,0,o,o
Issue complaint,5,5,o,2,2,o,3,3,o,o,o,0
Tette action in R case,1,1,0,0,o,o,I,I,o,o,o,-0
Comply with freedom of Information Act i,1,1,o,o,o,o,I,I,o,0,o,o
Take action in compliance proceeding,o,o,o,o,o,o,o,o,o,' o,0,0
