Industrial group,All cases / Number,All cases / Percent of total,Unfair labor practice cases / Number,Unfair labor practice cases / Percent of total,Representation cases / Number,Representation cases / Percent of total
Total,9543,100.0,3403,100.0,6140,100.0
Manufacturing,7550,79.2,2729,80.2,4821,78.7
Transportation equipment,1146,12.0,448,13.2,698,11.4
Miscellaneous manufacturing,266,2.8,99,2.9,147,2.4
Agriculture and forestry,26,.3,12,.4,14,.2
Mining,359,3.8,100,2.9,259,4.2
Construction,85,.9,42,1.3,43,.7
Wholesale trade,295,3.1,108,3.2,187,3.0
Retail trade,148,1.5,56,1.7,92,1.5
"Finance, insurance, and real estate",143,1.5,40,1.2,103,1.7
"Transportation, communication, and other public utilities",716,7.5,219,6.4,497,8.1
Services,211,2.2,96,2.8,115,1.9
