Type of election,All R elections Total elections,All R Withdrawn or dismissed before certification,All R Resulting in rerun or runoff,All R Resulting in certification,RC elections Total,RC Withdrawn or dismissed,RC Resulting in rerun or runoff,RC Resulting in certification,RM elections Total,RM Withdrawn or dismissed,RM Resulting in rerun or runoff,RM Resulting in certification,RD elections Total,RD Withdrawn or dismissed,RD Resulting in rerun or runoff,RD Resulting in certification
All types,8317,158,302,7857,7669,147,291,7241,394,10,7,377,244,1,4,239
All types — Rerun required + Runoff required,,,,,,,,,,,,,,,,
Consent elections,2506,28,59,2419,2295,25,58,2212,122,2,1,119,89,1,0,88
Stipulated elections,3974,72,148,3754,3692,64,140,3488,164,8,3,153,118,0,5,113
Regional director-directed,1710,57,86,1567,1591,57,84,1450,55,0,2,53,65,,,65
Board-directed,111,1,9,101,101,1,9,91,8,0,0,8,2,0,0,2
Expedited — Sec. 8(b)(7)(C),16,0,0,16,,,,,,,,,,,,
