row_label,Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Valid votes cast for unions / Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Valid votes cast for no unions,Eligible employees in elections choosing unions
Maine,27,23,20,3,,,4,1555,730,674,56,,,,662,670
New England,134,71,47,17,1,6,63,9296,3841,2622,806,67,346,,4354,3429
Middle Atlantic,401,182,94,47,3,32,219,28915,10544,6524,2553,,,,14144,9545
East North Central,491,225,124,60,21,20,266,35860,12224,8374,2290,1341,,,11975,8971
West North Central,191,87,44,28,6,9,104,12283,10158,6716,3580,607,244,,5836,2644
