row_label,Total elections,Won by unions — Total,Won by unions — AFL-CIO unions,Won by unions — Teamsters,Won by unions — Other national unions,Won by unions — Other local unions,Number of elections no representative chosen,Number of employees eligible to vote,Total valid votes cast for unions,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total valid votes cast against unions,Eligible employees in units showing representation results
Maine,53,21,11,7,4,0,32,4176,1558,1249,245,0,64,2312,627
New Hampshire,13,11,7,4,,,8,1153,1032,488,412,74,,546,471
Massachusetts,241,91,50,26,8,4,144,19438,17252,4228,2433,643,246,9111,6344
New England (subtotal),469,196,108,54,19,9,273,35786,32153,14586,8964,3121,1174,17467,10652
New York,574,324,166,75,33,27,279,44108,35222,13677,8571,915,2202,11545,16955
Middle Atlantic (subtotal),1406,670,326,187,59,63,734,77358,65949,31638,9588,5129,3667,4434,34311
East North Central (subtotal),1850,822,440,233,101,48,1028,128079,112654,52006,28674,7079,11900,4353,60648
West North Central (subtotal),592,265,146,94,12,13,327,30735,26821,13070,8022,2579,1583,386,12835
