row_label,Elections / Total elections,Elections / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In election won,Employees eligible to vote / In units won by AFL-CIO unions,Employees eligible to vote / In units won by Teamsters,Employees eligible to vote / In units won by Other national unions,Employees eligible to vote / In units won by Other local unions,Employees in elections in which no representative chosen
2-union elections (RM),7,71.4,5,2,1,2,,2,126,84,37,16,31,,42
Total RM elections,265,27.9,74,44,22,4,,191,7783,2233,1613,475,38,87,5550
D. Elections in RD cases (section header),,,,,,,,,,,,,,,
AFL-CIO (RD),499,26.7,133,133,,,,366,24010,10487,10487,,,,13523
Teamsters (RD),227,18.1,41,,41,,,186,6888,1292,,1292,,,4890
Other national unions (RD),13,61.5,8,,,8,,5,2729,2110,,,2110,,509
Other local unions (RD),22,18.2,4,,,,4,18,493,99,,,,99,405
1-union elections (RD),761,24.5,191,133,41,8,4,590,33191,13988,10487,1292,2110,99,19203
2-union elections (RD),24,83.3,20,7,2,5,6,4,6193,5512,3798,804,474,436,681
3 (or more) union elections (RD),2,100.0,2,1,,1,,,171,171,106,,65,,
Total RD elections,807,26.4,213,141,51,14,7,594,39555,19671,14391,2161,2584,535,19884
